캠페인 이름,광고 세트 이름,광고 이름,연령,성,일,결과,도달수,노출,결과당 비용,지출 금액 (KRW),빈도,고유 링크 클릭,링크 클릭,랜딩 페이지 조회,랜딩 페이지 조회당 비용,CPC(링크 클릭당 비용),"CPM(1,000회 노출당 비용)",CTR(전체),페이지 참여,페이지 좋아요,게시물 댓글,게시물 참여,게시물 공감,게시물 저장,게시물 공유,사진 조회,고유 아웃바운드 클릭,보고 시작,보고 종료,광고 세트,광고 위치
2 (전체),2 (인스타스토리),2 - 1(인스타스토리 상세),18-24,female,2021-03-26,10.0,597,605,295.0,2950.0,1.0134003350084,9.0,10.0,7.0,421.42857143,295.0,4876.03305785,1.48760331,10.0,,,10.0,,,,,9.0,2021-03-26,2021-03-26,2,인스타스토리
3 (전체),3 (인스타스토리),3 - 1(인스타스토리 상세),25-34,female,2021-03-26,1.0,27,27,271.0,271.0,1.0,1.0,1.0,1.0,271.0,271.0,10037.03703704,7.40740741,1.0,,,1.0,,,,,1.0,2021-03-26,2021-03-26,3,인스타스토리
6 (전체),6 (인스타피드),6 - 1(인스타피드 상세),Unknown,unknown,2021-03-26,,2,2,,4.0,1.0,,,,,,2000.0,0.0,,,,,,,,,,2021-03-26,2021-03-26,6,인스타피드
6 (전체),6 (인스타피드),6 - 1(인스타피드 상세),35-44,unknown,2021-03-26,,1,1,,3.0,1.0,,,,,,3000.0,0.0,,,,,,,,,,2021-03-26,2021-03-26,6,인스타피드
7 (전체),7 (인스타피드),7 - 2(인스타피드 상세),45-54,female,2021-03-26,,10,10,,157.0,1.0,,,,,,15700.0,0.0,,,,,,,,,,2021-03-26,2021-03-26,7,인스타피드
1 (전체),1 (인스타피드),1 - 3(인스타피드 상세),18-24,unknown,2021-03-26,,2,2,,14.0,1.0,,,,,,7000.0,0.0,1.0,,,1.0,1.0,,,,,2021-03-26,2021-03-26,1,인스타피드
7 (전체),7 (페이스북),7 - 2(페이스북 상세),35-44,female,2021-03-26,,32,32,,384.0,1.0,,,,,,12000.0,0.0,,,,,,,,,,2021-03-26,2021-03-26,7,페이스북
7 (전체),7 (페이스북),7 - 2(페이스북 상세),35-44,male,2021-03-26,,27,27,,258.0,1.0,,,,,,9555.55555556,0.0,,,,,,,,,,2021-03-26,2021-03-26,7,페이스북
7 (전체),7 (페이스북),7 - 2(페이스북 상세),45-54,male,2021-03-26,,12,12,,97.0,1.0,,,,,,8083.33333333,0.0,,,,,,,,,,2021-03-26,2021-03-26,7,페이스북
7 (전체),7 (페이스북),7 - 2(페이스북 상세),45-54,female,2021-03-26,,6,6,,62.0,1.0,,,,,,10333.33333333,0.0,,,,,,,,,,2021-03-26,2021-03-26,7,페이스북
7 (전체),7 (페이스북),7 - 2(페이스북 상세),25-34,male,2021-03-26,,6,6,,34.0,1.0,,,,,,5666.66666667,0.0,,,,,,,,,,2021-03-26,2021-03-26,7,페이스북
7 (전체),7 (인스타피드),7 - 1(인스타피드 상세),45-54,female,2021-03-26,2.0,19,19,135.5,271.0,1.0,2.0,2.0,2.0,135.5,135.5,14263.15789474,10.52631579,2.0,,,2.0,,,,,2.0,2021-03-26,2021-03-26,7,인스타피드
7 (전체),7 (인스타피드),7 - 1(인스타피드 상세),35-44,female,2021-03-26,7.0,159,160,273.57142857143,1915.0,1.0062893081761,7.0,7.0,6.0,319.16666667,273.57142857,11968.75,4.375,9.0,,,9.0,2.0,,,,7.0,2021-03-26,2021-03-26,7,인스타피드
