광고 세트 이름,연령,성,일,캠페인 이름,결과,도달수,노출,결과당 비용,지출 금액 (KRW),빈도,고유 링크 클릭,링크 클릭,랜딩 페이지 조회,랜딩 페이지 조회당 비용,페이지 참여,게시물 댓글,게시물 참여,게시물 공감,게시물 저장,게시물 공유,보고 시작,보고 종료
6 (인스타피드),25-34,female,2021-03-27,6 (전체),35,968,976,253.2571429,8864,1.008264463,35,35,33,268.6060606,38,,38,,3,,2021-03-27,2021-03-27
6 (인스타피드),25-34,male,2021-03-27,6 (전체),6,193,193,252.1666667,1513,1,6,6,5,302.6,8,,8,1,1,,2021-03-27,2021-03-27
6 (인스타피드),35-44,female,2021-03-27,6 (전체),6,128,129,208.1666667,1249,1.0078125,6,6,4,312.25,6,,6,,,,2021-03-27,2021-03-27
6 (인스타피드),45-54,female,2021-03-27,6 (전체),1,8,8,49,49,1,1,1,1,49,1,,1,,,,2021-03-27,2021-03-27
6 (인스타피드),35-44,male,2021-03-27,6 (전체),,38,38,,321,1,,,,,,,,,,,2021-03-27,2021-03-27
6 (인스타피드),45-54,male,2021-03-27,6 (전체),,3,3,,26,1,,,,,,,,,,,2021-03-27,2021-03-27
6 (인스타피드),25-34,unknown,2021-03-27,6 (전체),,3,3,,19,1,,,,,,,,,,,2021-03-27,2021-03-27
6 (인스타피드),35-44,unknown,2021-03-27,6 (전체),,2,2,,17,1,,,,,,,,,,,2021-03-27,2021-03-27
1 (페이스북),13-17,female,2021-03-27,1 (전체),23,883,1023,201.0592741,4624.363305,1.158550396,23,23,13,355.7202542,25,,25,,,2,2021-03-27,2021-03-27
6 (페이스북),45-54,male,2021-03-27,6 (전체),,59,65,,107.0242191,1.101694915,,,,,,,,,,,2021-03-27,2021-03-27
1 (페이스북),13-17,male,2021-03-27,1 (전체),4,555,662,397.5162236,1590.064894,1.192792793,4,4,2,795.0324472,4,,4,,,,2021-03-27,2021-03-27
1 (페이스북),18-24,female,2021-03-27,1 (전체),2,241,256,599.4172531,1198.834506,1.062240664,2,2,2,599.4172531,2,,2,,,,2021-03-27,2021-03-27
7 (인스타스토리),35-44,female,2021-03-27,7 (전체),1,4,4,53,53,1,1,1,1,53,1,,1,,,,2021-03-27,2021-03-27
7 (인스타스토리),25-34,female,2021-03-27,7 (전체),,5,5,,17,1,,,,,,,,,,,2021-03-27,2021-03-27
4 (인스타스토리),25-34,female,2021-03-27,4 (전체),,41,42,,216,1.024390244,,,,,,,,,,,2021-03-27,2021-03-27
7 (인스타스토리),35-44,male,2021-03-27,7 (전체),,1,1,,2,1,,,,,,,,,,,2021-03-27,2021-03-27
7 (인스타스토리),25-34,male,2021-03-27,7 (전체),,1,1,,2,1,,,,,,,,,,,2021-03-27,2021-03-27
7 (인스타스토리),25-34,unknown,2021-03-27,7 (전체),,1,1,,3,1,,,,,,,,,,,2021-03-27,2021-03-27
1 (페이스북),18-24,male,2021-03-27,1 (전체),1,106,109,301.7200938,301.7200938,1.028301887,1,1,,,1,,1,,,,2021-03-27,2021-03-27
1 (페이스북),13-17,unknown,2021-03-27,1 (전체),,1,1,,3.017200938,1,,,,,,,,,,,2021-03-27,2021-03-27
2 (인스타스토리),18-24,female,2021-03-27,2 (전체),17,888,893,172.8823529,2939,1.005630631,16,17,10,293.9,17,,17,,,,2021-03-27,2021-03-27
6 (페이스북),45-54,female,2021-03-27,6 (전체),,54,55,,210.0475328,1.018518519,,,,,,,,,,,2021-03-27,2021-03-27
6 (페이스북),25-34,male,2021-03-27,6 (전체),,90,93,,286.0647352,1.033333333,,,,,,,,,,,2021-03-27,2021-03-27
2 (인스타스토리),18-24,unknown,2021-03-27,2 (전체),,7,7,,38,1,,,,,,,,,,,2021-03-27,2021-03-27
5 (인스타피드),Unknown,unknown,2021-03-27,5 (전체),,4,4,,58,1,,,,,,,,,,,2021-03-27,2021-03-27
5 (페이스북),25-34,female,2021-03-27,5 (전체),14,430,449,224.4831371,3142.763919,1.044186047,14,14,13,241.7510707,15,,15,1,,,2021-03-27,2021-03-27
5 (페이스북),18-24,female,2021-03-27,5 (전체),6,129,136,149.7030554,898.2183321,1.054263566,6,6,6,149.7030554,7,,7,,,1,2021-03-27,2021-03-27
5 (페이스북),35-44,female,2021-03-27,5 (전체),,15,16,,73.0177486,1.066666667,,,,,,,,,,,2021-03-27,2021-03-27
4 (인스타피드),Unknown,unknown,2021-03-27,4 (전체),,2,2,,10,1,,,,,,,,,,,2021-03-27,2021-03-27
5 (인스타스토리),25-34,female,2021-03-27,5 (전체),2,97,97,315,630,1,2,2,2,315,2,,2,,,,2021-03-27,2021-03-27
5 (인스타스토리),18-24,female,2021-03-27,5 (전체),1,69,69,327,327,1,1,1,1,327,1,,1,,,,2021-03-27,2021-03-27
4 (인스타피드),25-34,female,2021-03-27,4 (전체),5,192,194,289,1445,1.010416667,5,5,2,722.5,6,,6,,1,,2021-03-27,2021-03-27
4 (인스타피드),18-24,female,2021-03-27,4 (전체),41,1281,1288,183.902439,7540,1.005464481,40,41,30,251.3333333,52,,52,5,6,,2021-03-27,2021-03-27
5 (인스타피드),35-44,female,2021-03-27,5 (전체),1,28,28,274,274,1,1,1,,,2,,2,,1,,2021-03-27,2021-03-27
5 (인스타피드),18-24,female,2021-03-27,5 (전체),13,335,338,214.6923077,2791,1.008955224,13,13,11,253.7272727,15,,15,,2,,2021-03-27,2021-03-27
5 (인스타피드),25-34,female,2021-03-27,5 (전체),41,909,917,214.3902439,8790,1.00880088,39,41,35,251.1428571,43,,43,,2,,2021-03-27,2021-03-27
5 (인스타피드),13-17,unknown,2021-03-27,5 (전체),,1,1,,5,1,,,,,,,,,,,2021-03-27,2021-03-27
6 (페이스북),35-44,female,2021-03-27,6 (전체),,101,102,,427.0966501,1.00990099,,,,,,,,,,,2021-03-27,2021-03-27
4 (페이스북),25-34,female,2021-03-27,4 (전체),4,139,142,269,1076,1.021582734,4,4,3,358.6666667,4,,4,,,,2021-03-27,2021-03-27
4 (페이스북),18-24,female,2021-03-27,4 (전체),14,517,542,236.7142857,3314,1.048355899,13,14,11,301.2727273,14,,14,,,,2021-03-27,2021-03-27
3 (페이스북),18-24,female,2021-03-27,3 (전체),31,928,999,187.7741935,5821,1.076508621,30,31,24,242.5416667,34,,34,1,1,1,2021-03-27,2021-03-27
3 (페이스북),25-34,female,2021-03-27,3 (전체),8,288,307,243.625,1949,1.065972222,8,8,6,324.8333333,10,,10,1,1,,2021-03-27,2021-03-27
2 (페이스북),18-24,unknown,2021-03-27,2 (전체),,2,2,,10,1,,,,,,,,,,,2021-03-27,2021-03-27
2 (페이스북),18-24,female,2021-03-27,2 (전체),35,1255,1385,238.3428571,8342,1.103585657,32,35,29,287.6551724,37,,37,1,1,,2021-03-27,2021-03-27
2 (페이스북),18-24,male,2021-03-27,2 (전체),4,143,164,204.5,818,1.146853147,4,4,3,272.6666667,5,,5,,1,,2021-03-27,2021-03-27
3 (인스타피드),Unknown,unknown,2021-03-27,3 (전체),,2,2,,25,1,,,,,,,,,,,2021-03-27,2021-03-27
3 (인스타피드),25-34,female,2021-03-27,3 (전체),8,158,161,185.625,1485,1.018987342,7,8,7,212.1428571,8,,8,,,,2021-03-27,2021-03-27
6 (페이스북),35-44,male,2021-03-27,6 (전체),1,77,77,179.0405161,179.0405161,1,1,1,1,179.0405161,1,,1,,,,2021-03-27,2021-03-27
6 (페이스북),25-34,female,2021-03-27,6 (전체),10,505,518,319.9724083,3199.724083,1.025742574,10,10,9,355.5248981,11,,11,,1,,2021-03-27,2021-03-27
2 (인스타스토리),18-24,male,2021-03-27,2 (전체),2,78,79,135,270,1.012820513,2,2,2,135,2,,2,,,,2021-03-27,2021-03-27
7 (인스타스토리),45-54,female,2021-03-27,7 (전체),,2,2,,5,1,,,,,,,,,,,2021-03-27,2021-03-27
2 (인스타피드),18-24,male,2021-03-27,2 (전체),2,122,123,324,648,1.008196721,2,2,2,324,3,,3,1,,,2021-03-27,2021-03-27
7 (페이스북),35-44,unknown,2021-03-27,7 (전체),,2,2,,4,1,,,,,,,,,,,2021-03-27,2021-03-27
2 (인스타피드),18-24,unknown,2021-03-27,2 (전체),,3,3,,13,1,,,,,,,,,,,2021-03-27,2021-03-27
3 (인스타스토리),25-34,female,2021-03-27,3 (전체),1,27,27,158,158,1,1,1,1,158,1,,1,,,,2021-03-27,2021-03-27
7 (페이스북),25-34,female,2021-03-27,7 (전체),1,104,109,823,823,1.048076923,1,1,1,823,1,,1,,,,2021-03-27,2021-03-27
2 (인스타피드),18-24,female,2021-03-27,2 (전체),14,722,729,278.3571429,3897,1.009695291,14,14,10,389.7,26,,26,8,4,,2021-03-27,2021-03-27
2 (인스타피드),13-17,unknown,2021-03-27,2 (전체),,1,1,,1,1,,,,,,,,,,,2021-03-27,2021-03-27
7 (페이스북),35-44,male,2021-03-27,7 (전체),5,201,212,219.8,1099,1.054726368,5,5,3,366.3333333,5,,5,,,,2021-03-27,2021-03-27
7 (페이스북),35-44,female,2021-03-27,7 (전체),4,180,190,371,1484,1.055555556,4,4,4,371,4,,4,,,,2021-03-27,2021-03-27
7 (페이스북),45-54,female,2021-03-27,7 (전체),4,104,111,264,1056,1.067307692,4,4,3,352,4,,4,,,,2021-03-27,2021-03-27
7 (페이스북),45-54,male,2021-03-27,7 (전체),,183,189,,1003,1.032786885,,,,,,,,,,,2021-03-27,2021-03-27
7 (페이스북),25-34,male,2021-03-27,7 (전체),,40,42,,315,1.05,,,,,,,,,,,2021-03-27,2021-03-27
7 (페이스북),45-54,unknown,2021-03-27,7 (전체),,1,1,,4,1,,,,,,,,,,,2021-03-27,2021-03-27
1 (인스타피드),13-17,unknown,2021-03-27,1 (전체),,12,12,,37,1,,,,,,,,,,,2021-03-27,2021-03-27
7 (페이스북),25-34,unknown,2021-03-27,7 (전체),,1,1,,6,1,,,,,,,,,,,2021-03-27,2021-03-27
1 (인스타스토리),18-24,unknown,2021-03-27,1 (전체),,1,1,,3,1,,,,,,,,,,,2021-03-27,2021-03-27
1 (인스타스토리),18-24,male,2021-03-27,1 (전체),1,16,17,54,54,1.0625,1,1,1,54,1,,1,,,,2021-03-27,2021-03-27
1 (인스타스토리),13-17,unknown,2021-03-27,1 (전체),,8,8,,14,1,,,,,,,,,,,2021-03-27,2021-03-27
8 (인스타피드),25-34,female,2021-03-27,8 - 여자 (전체),33,861,866,255.6969697,8438,1.005807201,31,33,28,301.3571429,37,,37,2,2,,2021-03-27,2021-03-27
8 (인스타피드),35-44,female,2021-03-27,8 - 여자 (전체),1,20,20,245,245,1,1,1,1,245,1,,1,,,,2021-03-27,2021-03-27
1 (인스타스토리),13-17,male,2021-03-27,1 (전체),1,193,198,363,363,1.025906736,1,1,1,363,1,,1,,,,2021-03-27,2021-03-27
8 (인스타피드),Unknown,unknown,2021-03-27,8 - 여자 (전체),,3,3,,25,1,,,,,,,,,,,2021-03-27,2021-03-27
8 (인스타피드),13-17,unknown,2021-03-27,8 - 여자 (전체),,2,2,,14,1,,,,,,,,,,,2021-03-27,2021-03-27
1 (인스타스토리),18-24,female,2021-03-27,1 (전체),6,315,318,172.6666667,1036,1.00952381,6,6,6,172.6666667,6,,6,,,,2021-03-27,2021-03-27
1 (인스타스토리),13-17,female,2021-03-27,1 (전체),21,2712,2842,298.6190476,6271,1.047935103,21,21,18,348.3888889,21,,21,,,,2021-03-27,2021-03-27
2 (인스타피드),Unknown,unknown,2021-03-27,2 (전체),,1,1,,3,1,,,,,,,,,,,2021-03-27,2021-03-27
4 (인스타스토리),18-24,female,2021-03-27,4 (전체),19,826,837,183.8947368,3494,1.013317191,19,19,17,205.5294118,20,,20,,,1,2021-03-27,2021-03-27
7 (인스타피드),25-34,unknown,2021-03-27,7 (전체),,1,1,,3,1,,,,,,,,,,,2021-03-27,2021-03-27
1 (인스타피드),18-24,male,2021-03-27,1 (전체),1,76,76,282,282,1,1,1,1,282,1,,1,,,,2021-03-27,2021-03-27
7 (인스타피드),35-44,female,2021-03-27,7 (전체),17,520,523,312.4705882,5312,1.005769231,17,17,14,379.4285714,20,,20,3,,,2021-03-27,2021-03-27
7 (인스타피드),25-34,male,2021-03-27,7 (전체),2,109,109,356.5,713,1,2,2,1,713,2,,2,,,,2021-03-27,2021-03-27
1 (인스타피드),13-17,male,2021-03-27,1 (전체),3,315,323,239.3333333,718,1.025396825,3,3,3,239.3333333,3,,3,,,,2021-03-27,2021-03-27
7 (인스타피드),25-34,female,2021-03-27,7 (전체),12,511,514,341.0833333,4093,1.005870841,12,12,8,511.625,12,,12,,,,2021-03-27,2021-03-27
7 (인스타피드),35-44,male,2021-03-27,7 (전체),,119,121,,967,1.016806723,,,,,,,,,,,2021-03-27,2021-03-27
1 (인스타피드),18-24,unknown,2021-03-27,1 (전체),,2,2,,4,1,,,,,,,,,,,2021-03-27,2021-03-27
7 (인스타피드),45-54,female,2021-03-27,7 (전체),5,100,101,208.2,1041,1.01,5,5,5,208.2,5,,5,,,,2021-03-27,2021-03-27
7 (인스타피드),35-44,unknown,2021-03-27,7 (전체),,5,5,,26,1,,,,,,,,,,,2021-03-27,2021-03-27
7 (인스타피드),Unknown,unknown,2021-03-27,7 (전체),,1,1,,3,1,,,,,,,,,,,2021-03-27,2021-03-27
1 (인스타피드),18-24,female,2021-03-27,1 (전체),15,522,525,174.0666667,2611,1.005747126,15,15,13,200.8461539,19,,19,1,2,1,2021-03-27,2021-03-27
7 (인스타피드),45-54,unknown,2021-03-27,7 (전체),,3,3,,7,1,,,,,,,,,,,2021-03-27,2021-03-27
1 (인스타피드),13-17,female,2021-03-27,1 (전체),25,1716,1778,249.2,6230,1.036130536,23,25,22,283.1818182,41,,41,9,7,,2021-03-27,2021-03-27
7 (인스타피드),45-54,male,2021-03-27,7 (전체),1,37,37,343,343,1,1,1,1,343,1,,1,,,,2021-03-27,2021-03-27
1 (인스타스토리),13-17,male,2021-03-26,1 (전체),,149,154,,385,1.033557047,,,,,,,,,,,2021-03-26,2021-03-26
4 (인스타피드),18-24,female,2021-03-26,4 (전체),22,780,784,316,6952,1.005128205,22,22,14,496.5714286,28,,28,4,2,,2021-03-26,2021-03-26
4 (페이스북),25-34,female,2021-03-26,4 (전체),,16,17,,147,1.0625,,,,,,,,,,,2021-03-26,2021-03-26
4 (인스타피드),25-34,female,2021-03-26,4 (전체),7,204,205,317.4285714,2222,1.004901961,7,7,7,317.4285714,9,,9,,2,,2021-03-26,2021-03-26
1 (인스타스토리),13-17,unknown,2021-03-26,1 (전체),,9,9,,25,1,,,,,,,,,,,2021-03-26,2021-03-26
1 (인스타스토리),18-24,female,2021-03-26,1 (전체),5,198,199,216.8,1084,1.005050505,5,5,5,216.8,5,,5,,,,2021-03-26,2021-03-26
4 (인스타피드),Unknown,unknown,2021-03-26,4 (전체),,2,2,,13,1,,,,,,,,,,,2021-03-26,2021-03-26
2 (인스타스토리),18-24,unknown,2021-03-26,2 (전체),,5,5,,29,1,,,,,,,,,,,2021-03-26,2021-03-26
2 (인스타스토리),18-24,female,2021-03-26,2 (전체),11,676,687,317.2727273,3490,1.016272189,10,11,8,436.25,11,,11,,,,2021-03-26,2021-03-26
2 (인스타스토리),18-24,male,2021-03-26,2 (전체),2,41,42,89,178,1.024390244,2,2,2,89,2,,2,,,,2021-03-26,2021-03-26
4 (인스타스토리),18-24,female,2021-03-26,4 (전체),11,523,531,260.1818182,2862,1.015296367,11,11,9,318,11,,11,,,,2021-03-26,2021-03-26
1 (인스타피드),18-24,female,2021-03-26,1 (전체),8,226,228,252.75,2022,1.008849558,8,8,8,252.75,8,,8,,,,2021-03-26,2021-03-26
1 (인스타피드),13-17,male,2021-03-26,1 (전체),2,97,100,209,418,1.030927835,2,2,2,209,2,,2,,,,2021-03-26,2021-03-26
1 (인스타피드),18-24,unknown,2021-03-26,1 (전체),,3,3,,17,1,,,,,1,,1,1,,,2021-03-26,2021-03-26
4 (인스타스토리),25-34,female,2021-03-26,4 (전체),,33,33,,281,1,,,,,,,,,,,2021-03-26,2021-03-26
4 (페이스북),18-24,female,2021-03-26,4 (전체),5,90,90,152.8,764,1,5,5,3,254.6666667,6,,6,,,1,2021-03-26,2021-03-26
2 (페이스북),18-24,female,2021-03-26,2 (전체),17,576,644,272.4705882,4632,1.118055556,16,17,15,308.8,20,,20,1,1,1,2021-03-26,2021-03-26
1 (인스타스토리),13-17,female,2021-03-26,1 (전체),20,1803,1886,302.65,6053,1.046034387,20,20,19,318.5789474,20,,20,,,,2021-03-26,2021-03-26
3 (인스타피드),18-24,female,2021-03-26,3 (전체),15,730,733,385.4,5781,1.004109589,15,15,13,444.6923077,20,,20,1,4,,2021-03-26,2021-03-26
2 (인스타피드),18-24,unknown,2021-03-26,2 (전체),,1,1,,12,1,,,,,,,,,,,2021-03-26,2021-03-26
2 (인스타피드),18-24,male,2021-03-26,2 (전체),3,42,42,82.33333333,247,1,3,3,3,82.33333333,4,,4,,1,,2021-03-26,2021-03-26
2 (인스타피드),18-24,female,2021-03-26,2 (전체),8,482,488,481.125,3849,1.012448133,8,8,8,481.125,17,,17,3,6,,2021-03-26,2021-03-26
3 (인스타피드),Unknown,unknown,2021-03-26,3 (전체),,1,1,,21,1,,,,,,,,,,,2021-03-26,2021-03-26
9 (인스타스토리),18-24,unknown,2021-03-26,9 (전체),,1,1,,3,1,,,,,,,,,,,2021-03-26,2021-03-26
9 (인스타스토리),25-34,male,2021-03-26,9 (전체),,6,6,,27,1,,,,,,,,,,,2021-03-26,2021-03-26
9 (인스타스토리),18-24,female,2021-03-26,9 (전체),3,268,272,603,1809,1.014925373,3,3,1,1809,4,,4,,,1,2021-03-26,2021-03-26
9 (인스타스토리),25-34,female,2021-03-26,9 (전체),1,24,24,221,221,1,1,1,1,221,1,,1,,,,2021-03-26,2021-03-26
9 (인스타스토리),18-24,male,2021-03-26,9 (전체),1,25,26,127,127,1.04,1,1,,,1,,1,,,,2021-03-26,2021-03-26
3 (인스타피드),25-34,female,2021-03-26,3 (전체),7,211,212,320.8571429,2246,1.004739336,7,7,6,374.3333333,8,,8,1,,,2021-03-26,2021-03-26
1 (인스타피드),18-24,male,2021-03-26,1 (전체),,41,41,,257,1,,,,,,,,,,,2021-03-26,2021-03-26
3 (페이스북),25-34,female,2021-03-26,3 (전체),2,93,96,434,868,1.032258065,2,2,2,434,2,,2,,,,2021-03-26,2021-03-26
1 (페이스북),13-17,female,2021-03-26,1 (전체),12,554,676,284,3408,1.220216606,11,12,10,340.8,13,,13,1,,,2021-03-26,2021-03-26
1 (페이스북),13-17,male,2021-03-26,1 (전체),1,331,412,1171,1171,1.244712991,1,1,,,2,,2,,1,,2021-03-26,2021-03-26
1 (페이스북),18-24,female,2021-03-26,1 (전체),2,46,50,155,310,1.086956522,2,2,2,155,2,,2,,,,2021-03-26,2021-03-26
1 (페이스북),18-24,male,2021-03-26,1 (전체),,29,31,,166,1.068965517,,,,,,,,,,,2021-03-26,2021-03-26
3 (인스타스토리),18-24,female,2021-03-26,3 (전체),8,353,353,284.5,2276,1,8,8,7,325.1428571,8,,8,,,,2021-03-26,2021-03-26
3 (인스타스토리),25-34,female,2021-03-26,3 (전체),1,27,27,271,271,1,1,1,1,271,1,,1,,,,2021-03-26,2021-03-26
1 (인스타스토리),18-24,male,2021-03-26,1 (전체),,18,18,,69,1,,,,,,,,,,,2021-03-26,2021-03-26
1 (인스타피드),13-17,unknown,2021-03-26,1 (전체),,3,3,,16,1,,,,,,,,,,,2021-03-26,2021-03-26
2 (페이스북),18-24,male,2021-03-26,2 (전체),1,177,190,842,842,1.073446328,1,1,,,1,,1,,,,2021-03-26,2021-03-26
3 (페이스북),18-24,female,2021-03-26,3 (전체),4,195,213,436.25,1745,1.092307692,4,4,4,436.25,4,,4,,,,2021-03-26,2021-03-26
1 (인스타피드),13-17,female,2021-03-26,1 (전체),8,696,730,557.5,4460,1.048850575,8,8,8,557.5,21,,21,4,9,,2021-03-26,2021-03-26
